Big Agnes Elk Park (Long), $199.95, 3062 gm 108.0 oz 6.75 lb, -20 F-28.8 C, Synth, 80.5", , 14" x 12", Long: Fits up to 6'6"
Eureka Dual Temp 10/30° (Regular), $129.90, 1786 gm 63.0 oz 3.94 lb, 10 F-12.2 C, Synth, 66", , 19" x 9.5", Regular: Fits up to 6'
Eureka Dual Temp 10/30° (Long), $139.90, 1928 gm 68.0 oz 4.25 lb, 10 F-12.2 C, Synth, 66", , 19" x 10", Long: Fits up to 6'6"
Eureka Kaycee 0° (Regular), $159.90, 2098 gm 74.0 oz 4.63 lb, 0 F-17.7 C, Synth, 64", , 19.5" x 10.5", Regular: Fits up to 6'
Eureka Kaycee 0° (Long), $169.90, 2353 gm 83.0 oz 5.19 lb, 0 F-17.7 C, Synth, 68", , 19.5" x 11", Long: Fits up to 6'6"
Eureka Wild Basin 0° (Regular), $94.99, 2183 gm 77.0 oz 4.81 lb, 0 F-17.7 C, Synth, 64", , 19" x 10.5", Regular: Fits up to 6'
Eureka Wild Basin 0° (Long), $104.99, 2466 gm 87.0 oz 5.44 lb, 0 F-17.7 C, Synth, 64", , 19" x 11.5", Long: Fits up to 6'6"
Exped Waterbloc 1000 (Regular), $689.95, 1910 gm 67.4 oz 4.21 lb, -5 F-20.5 C, 700 Down, 62", , 16" x 9", Regular: Fits up to 6'
Exped Waterbloc 1000 (Long), $738.95, 1990 gm 70.2 oz 4.39 lb, -5 F-20.5 C, 700 Down, 62", , 17" x 9", Long: Fits up to 6'6"
Exped Waterbloc 1200 (Regular), $788.95, 2280 gm 80.4 oz 5.03 lb, -20 F-28.8 C, 750 Down, 62", , 18" x 8", Regular: Fits up to 6'
Exped Waterbloc 1200 (Long), $848.95, 2340 gm 82.5 oz 5.16 lb, -20 F-28.8 C, 750 Down, 62", , 19" x 8", Long: Fits up to 6'6"
GoLite Z -10 (Regular), $399.99, 1361 gm 48.0 oz 3.00 lb, -10 F-23.3 C, 850 Down, 60", , ?" x ?", Regular: Fits up to 6'
GoLite Z -10 (Long), $399.99, 1446 gm 51.0 oz 3.19 lb, -10 F-23.3 C, 850 Down, 62", , ?" x ?", Long: Fits up to 6'6"
GoLite Adventure 0 (Regular), $249.99, 1446 gm 51.0 oz 3.19 lb, 0 F-17 C, 650 Down, 62", , ?" x ?", Regular: Fits up to 6'
GoLite Adventure 0 (Long), $249.99, 1503 gm 53.0 oz 3.31 lb, 0 F-17 C, 650 Down, 64", , ?" x ?", Long: Fits up to 6'6"
GoLite Z10 (Regular), $349.99, 992 gm 35.0 oz 2.19 lb, 10 F-12 C, 850 Down, 60", , ?" x ?", Regular: Fits up to 6'
GoLite Z10 (Long), $349.99, 1077 gm 38.0 oz 2.38 lb, 10 F-12 C, 850 Down, 62", , ?" x ?", Long: Fits up to 6'6"
Kelty Ignite DriDown 0 (Regular), $259.95, 1616 gm 57.0 oz 3.56 lb, 0 F-18 C, 600 Down, 62", , 15" x 10", Regular: Fits up to 6'
Kelty Ignite DriDown 0 (Long), $269.95, 1644 gm 58.0 oz 3.63 lb, 0 F-18 C, 600 Down, 64", , 15" x 10", Long: Fits up to 6'6"
Kelty Coromell Down 0 (Long), $239.95, 2041 gm 72.0 oz 4.50 lb, 0 F-18 C, 550 Down, 72", , 18" x 10", Long: Fits up to 6'6"
Kelty Coromell Down 0 (Regular), $229.95, 1956 gm 69.0 oz 4.31 lb, 0 F-18 C, 550 Down, 66", , 16" x 10", Regular: Fits up to 6'
Kelty Cosmic Down 0 (Regular), $219.95, 1701 gm 60.0 oz 3.75 lb, 0 F-18 C, 550 Down, 62", , 17" x 9", Regular: Fits up to 6'
Kelty Cosmic Down 0 (Long), $229.95, 1786 gm 63.0 oz 3.94 lb, 0 F-18 C, 550 Down, 64", , 18" x 9", Long: Fits up to 6'6"
Kelty Cosmic 0 (Regular), $109.95, 2126 gm 75.0 oz 4.69 lb, 0 F-18 C, Synth, 62", , 20" x 12", Regular: Fits up to 6'
Kelty Cosmic 0 (Long), $119.95, 2296 gm 81.0 oz 5.06 lb, 0 F-18 C, Synth, 64", , 20" x 12", Long: Fits up to 6'6"
Kelty Mistral -20 (Regular), $94.95, 2807 gm 99.0 oz 6.19 lb, -20 F-29 C, Synth, 64", , 22" x 13", Regular: Fits up to 6'
Kelty Mistral -20 (Long), $104.95, 3033 gm 107.0 oz 6.69 lb, -20 F-29 C, Synth, 66", , 23" x 13", Long: Fits up to 6'6"
Kelty Mistral 0 (Regular), $84.95, 2296 gm 81.0 oz 5.06 lb, 0 F-18 C, Synth, 64", , 22" x 12", Regular: Fits up to 6'
Kelty Mistral 0 (Long), $94.95, 2438 gm 86.0 oz 5.38 lb, 0 F-18 C, Synth, 66", , 23" x 12", Long: Fits up to 6'6"
Kelty Calisto 0 (Regular), $99.95, 2381 gm 84.0 oz 5.25 lb, 0 F-18 C, Synth, 68", , 18" x 12", Regular: Fits up to 6'5"
Mammut Sphere UL 3-Season (Regular), $429.95, 750 gm 26.5 oz 1.65 lb, 14 F-10 C, 850 Down, ?", , 8.7" x 7.5", Regular: Fits up to 5'11"
Mammut Sphere UL 3-Season (Long), $459.95, 800 gm 28.2 oz 1.76 lb, 14 F-10 C, 850 Down, ?", , 8.7" x 7.5", Long: Fits up to 6'5"
Mammut Sphere UL Winter (Regular), $529.95, 1050 gm 37.0 oz 2.31 lb, 5 F-15 C, 850 Down, ?", , 9" x 7.9", Regular: Fits up to 5'11"
Mammut Sphere UL Winter (Long), $549.95, 1150 gm 40.6 oz 2.54 lb, 5 F-15 C, 850 Down, ?", , 9" x 7.9", Long: Fits up to 6'5"
Marmot CWM MemBrain (Regular), $699.00, 2066 gm 72.9 oz 4.55 lb, -40 F-40 C, 800 Down, 64", , 19" x 9.5", Regular: Fits up to 6'
Marmot CWM MemBrain (Long), $719.00, 2268 gm 80.0 oz 5.00 lb, -40 F-40 C, 800 Down, 66", , 19" x 9.5", Long: Fits up to 6'6"
Marmot Plasma 0 (Regular), $649.00, 1126 gm 39.7 oz 2.48 lb, 0 F-18 C, 900 Down, 60", , 15" x 7.5", Regular: Fits up to 6'
Marmot Plasma 0 (Long), $669.00, 1162 gm 41.0 oz 2.56 lb, 0 F-18 C, 900 Down, 60", , 19" x 9.5", Long: Fits up to 6'6"
Marmot Col MemBrain (Regular), $649.00, 1774 gm 62.6 oz 3.91 lb, -20 F-29 C, 800 Down, 64", , 19" x 9.5", Regular: Fits up to 6'
Marmot Col MemBrain (Long), $669.00, 2070 gm 73.0 oz 4.56 lb, -20 F-29 C, 800 Down, 66", , 19" x 9.5", Long: Fits up to 6'6"
Marmot Lithium MemBrain (Regular), $559.00, 1330 gm 46.9 oz 2.93 lb, 0 F-18 C, 850 Down, 62", , 16" x 7.5", Regular: Fits up to 6'
Marmot Lithium MemBrain (Long), $579.00, 1474 gm 52.0 oz 3.25 lb, 0 F-18 C, 850 Down, 64", , 19" x 9.5", Long: Fits up to 6'6"
Marmot Lithium (Regular), $489.00, 1255 gm 44.3 oz 2.77 lb, 0 F-18 C, 850 Down, 62", , 16" x 7.5", Regular: Fits up to 6'
Marmot Lithium (Long), $509.00, 1332 gm 47.0 oz 2.94 lb, 0 F-18 C, 850 Down, 64", , 16" x 7.5", Long: Fits up to 6'6"
Marmot Never Summer MemBrain (Regular), $349.00, 1474 gm 52.0 oz 3.25 lb, 0 F-18 C, 650 Down, 62", , 19" x 9.5", Regular: Fits up to 6'
Marmot Never Summer MemBrain (Long), $369.00, 1729 gm 61.0 oz 3.81 lb, 0 F-18 C, 650 Down, 66", , 19" x 9.5", Long: Fits up to 6'6"
Marmot Never Summer (Regular), $279.00, 1771 gm 62.5 oz 3.90 lb, 0 F-18 C, 650 Down, 62", , 18" x 8.5", Regular: Fits up to 6'
Marmot Never Summer (Long), $299.00, 1814 gm 64.0 oz 4.00 lb, 0 F-18 C, 650 Down, 64", , 18" x 8.5", Long: Fits up to 6'6"
Marmot Rockaway 0 (Regular), $159.00, 2494 gm 88.0 oz 5.50 lb, 0 F-18 C, Synth, 67", , 19" x 10.5", Regular: Fits up to 6'
Marmot Rockaway 0 (Long), $169.00, 2750 gm 97.0 oz 6.06 lb, 0 F-18 C, Synth, 68", , 19" x 10.5", Long: Fits up to 6'6"
Marmot Trestles 0 (Regular), $139.00, 2401 gm 84.7 oz 5.29 lb, 0 F-18 C, Synth, 62", , 21" x 9.5", Regular: Fits up to 6'
Marmot Trestles 0 (Long), $149.00, 2523 gm 89.0 oz 5.56 lb, 0 F-18 C, Synth, 64", , 21" x 9.5", Long: Fits up to 6'6"
Montbell U.L. Super Spiral Down Hugger Exp. (Regular), $609.00, 1559 gm 55.0 oz 3.44 lb, -20 F-29 C, 800 Down, 75", , 17.1" x 8.7", Regular: Fits up to 6'
Montbell U.L. Super Spiral Down Hugger Exp. (Long), $639.00, 1701 gm 60.0 oz 3.75 lb, -20 F-29 C, 800 Down, 81", , 17.1" x 8.7", Long: Fits up to 6'6"
Montbell U.L. Super Spiral Down Hugger #0 (Regular), $499.00, 1332 gm 47.0 oz 2.94 lb, 0 F-18 C, 800 Down, 75", , 15.6" x 7.9", Regular: Fits up to 6'
Montbell U.L. Super Spiral Down Hugger #0 (Long), $529.00, 1446 gm 51.0 oz 3.19 lb, 0 F-18 C, 800 Down, 81", , 15.6" x 7.9", Long: Fits up to 6'6"
Montbell U.L. Spiral Down Hugger #0 (Regular), $459.00, 1276 gm 45.0 oz 2.81 lb, 0 F-18 C, 800 Down, 68", , 14.8" x 7.5", Regular: Fits up to 5'10"
Montbell U.L. Spiral Down Hugger #0 (Long), $489.00, 1389 gm 49.0 oz 3.06 lb, 0 F-18 C, 800 Down, 74", , 15.6" x 7.9", Long: Fits up to 6'4"
Montbell Super Spiral Down Hugger #0 (Regular), $339.00, 1673 gm 59.0 oz 3.69 lb, 0 F-18 C, 650 Down, 75", , 17.1" x 8.7", Regular: Fits up to 6'
Montbell Super Spiral Down Hugger #0 (Long), $369.00, 1814 gm 64.0 oz 4.00 lb, 0 F-18 C, 650 Down, 75", , 17.1" x 8.7", Long: Fits up to 6'6"
Montbell Super Spiral Burrow Bag #0 (Regular), $209.00, 2608 gm 92.0 oz 5.75 lb, 0 F-18 C, Synth, 75", , 18" x 9", Regular: Fits up to 6'
Montbell Super Spiral Burrow Bag #0 (Long), $229.00, 2750 gm 97.0 oz 6.06 lb, 0 F-18 C, Synth, 81", , 18.7" x 9.2", Long: Fits up to 6'6"
Mountain Hardwear Phantom 0 (Regular), $580.00, 1162 gm 41.0 oz 2.56 lb, 0 F-18 C, 800 Down, 60", , 13" x 8", Regular: Fits up to 6'
