Big Agnes Q-Core - Long, $149.95, 822 gm29.0 oz1.81 lb, R 5, 78" L20" W3.5" D, 9.5" x 6", Inflatable
Big Agnes Q-Core - Long Wide, $179.95, 1021 gm36.0 oz2.25 lb, R 5, 78" L25" W3.5" D, 11" x 6", Inflatable
Big Agnes Dual Core - Small, $109.95, 737 gm26.0 oz1.63 lb, R 5, 66" L20" W2.5" D, 13" x 5.5", Inflatable
Big Agnes Dual Core - Regular, $119.95, 850 gm30.0 oz1.88 lb, R 5, 72" L20" W2.5" D, 13" x 6", Inflatable
Big Agnes Dual Core - Long, $129.95, 964 gm34.0 oz2.13 lb, R 5, 78" L20" W2.5" D, 13" x 6.5", Inflatable
Big Agnes Dual Core - Long Wide, $179.95, 1219 gm43.0 oz2.69 lb, R 5, 78" L25" W2.5" D, 15.5" x 7", Inflatable
Big Agnes Dual Core - Regular - Mummy, $119.95, 822 gm29.0 oz1.81 lb, R 5, 72" L20" W2.5" D, 13" x 6", Inflatable
Big Agnes Dual Core - Long - Mummy, $129.95, 879 gm31.0 oz1.94 lb, R 5, 78" L20" W2.5" D, 13" x 6.5", Inflatable
Big Agnes Two Track - Regular - 1.5" thick, $84.95, 964 gm34.0 oz2.13 lb, R 4.5, 72" L20" W1.5" D, 21" x 4.5", Self Inflating Foam
Big Agnes Two Track - Long - 1.5" thick, $94.95, 1106 gm39.0 oz2.44 lb, R 4.5, 78" L20" W1.5" D, 21" x 5", Self Inflating Foam
Big Agnes Two Track - Long Wide - 1.5" thick, $129.95, 1304 gm46.0 oz2.88 lb, R 4.5, 78" L25" W1.5" D, 25" x 5", Self Inflating Foam
Big Agnes Two Track - Regular - 2" Thick, $89.95, 1191 gm42.0 oz2.63 lb, R 6.5, 72" L20" W2" D, 21" x 5", Self Inflating Foam
Big Agnes Two Track - Long - 2" Thick, $89.95, 1304 gm46.0 oz2.88 lb, R 6.5, 78" L20" W2" D, 21" x 5.5", Self Inflating Foam
Big Agnes Two Track - Regular - Mummy - 1.5" thick, $84.95, 850 gm30.0 oz1.88 lb, R 4.5, 72" L20" W1.5" D, 21" x 4.5", Self Inflating Foam
Big Agnes Two Track - Long - Mummy - 1.5" thick, $94.95, 992 gm35.0 oz2.19 lb, R 4.5, 78" L20" W1.5" D, 21" x 5", Self Inflating Foam
Big Agnes Two Track - Regular - Mummy - 2" thick, $89.95, 1021 gm36.0 oz2.25 lb, R 6.5, 72" L20" W2" D, 21" x 5", Self Inflating Foam
Big Agnes Two Track - Long - Mummy - 2" thick, $99.95, 1162 gm41.0 oz2.56 lb, R 6.5, 78" L20" W2" D, 21" x 5.5", Self Inflating Foam
Big Agnes Hinman - Short, $49.95, 822 gm29.0 oz1.81 lb, R 5.8, 48" L20" W1.5" D, 21" x 3.5", Self Inflating Foam
Big Agnes Hinman - Regular, $69.95, 1191 gm42.0 oz2.63 lb, R 5.8, 72" L20" W1.5" D, 21" x 5", Self Inflating Foam
Big Agnes Hinman - Long, $79.95, 1389 gm49.0 oz3.06 lb, R 5.8, 78" L20" W1.5" D, 21" x 5.5", Self Inflating Foam
Big Agnes Hinman - Long Wide, $89.95, 2098 gm74.0 oz4.63 lb, R 7.2, 78" L25" W2.5" D, 26" x 7", Self Inflating Foam
Big Agnes Hinman - Double Wide, $199.95, 4536 gm160.0 oz10.00 lb, R 7.2, 78" L50" W2.5" D, 26" x 21", Self Inflating Foam
Eureka DUALIS ST, $99.90, 1332 gm47.0 oz2.94 lb, R 3.7, 72" L20" W2.75" D, 23" x 5", Self Inflating Foam
Eureka DUALIS ST - Large, $129.90, 2268 gm80.0 oz5.00 lb, R 5.2, 78" L25" W2.75" D, 27" x 6", Self Inflating Foam
Eureka Singlis ST, $49.90, 709 gm25.0 oz1.56 lb, R 1, 72" L20" W2.8" D, 10" x 3", Inflatable
Eureka Singlis ST - Large, $79.90, 1021 gm36.0 oz2.25 lb, R 1, 78" L26" W2.8" D, 10" x 4", Inflatable
Exped DownMat 7 - Small, $159.00, 780 gm27.5 oz1.72 lb, R 5.9, 64" L20" W2.8" D, 9" x 6", Inflatable
Exped DownMat 7 - Medium, $169.00, 880 gm31.0 oz1.94 lb, R 5.9, 72" L20" W2.8" D, 9" x 6", Inflatable
Exped DownMat 7 - Long Wide, $189.00, 1150 gm40.6 oz2.54 lb, R 5.9, 77.5" L26" W2.8" D, 11" x 5", Inflatable
Exped DownMat 9 - Medium, $199.00, 990 gm34.9 oz2.18 lb, R 8, 72" L20" W3.5" D, 9" x 6", Inflatable
Exped DownMat 9 - Long Wide, $219.00, 1270 gm44.8 oz2.80 lb, R 8, 77.5" L26" W3.5" D, 11" x 6", Inflatable
Exped DownMat UL 7 - Extra Small, $189.00, 420 gm14.8 oz0.93 lb, R 5.9, 47" L20" W2.8" D, 9" x 3.5", Inflatable
Exped DownMat UL 7 - Small, $199.00, 530 gm18.7 oz1.17 lb, R 5.9, 64" L20" W2.8" D, 9" x 4", Inflatable
Exped DownMat UL 7 - Medium, $209.00, 581 gm20.5 oz1.28 lb, R 5.9, 72" L20" W2.8" D, 9" x 4.3", Inflatable
Exped DownMat UL 7 - Long Wide, $219.00, 751 gm26.5 oz1.66 lb, R 5.9, 77.5" L26" W2.8" D, 10.6" x 4", Inflatable
Exped SynMat UL 7 - Small, $155.00, 430 gm15.2 oz0.95 lb, R 3.1, 64" L20" W2.8" D, 9" x 3.5", Inflatable
Exped SynMat UL 7 - Medium, $165.00, 460 gm16.2 oz1.01 lb, R 3.1, 72" L20" W2.8" D, 9.4" x 3.7", Inflatable
Exped SynMat UL 7 - Long Wide, $175.00, 600 gm21.2 oz1.32 lb, R 3.1, 77.5" L25.5" W2.8" D, 10.6" x 4.3", Inflatable
Exped SynMat 7 - Small, $119.00, 770 gm27.2 oz1.70 lb, R 4.9, 64" L20" W2.8" D, 9" x 5.5", Inflatable
