Alps Mountaineering Solitude Plus, , $129.99, 1701 gm 60.0 oz 3.75 lb, 3100 cu. in.50 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Synergy LT, , $119.99, 1446 gm 51.0 oz 3.19 lb, 2800 cu. in.45 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Orizaba 3900, , $139.99, 1701 gm 60.0 oz 3.75 lb, 3900 cu. in.64 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Orizaba 4500, , $149.99, 1758 gm 62.0 oz 3.88 lb, 4500 cu. in.74 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Cascade 4200, , $169.99, 2438 gm 86.0 oz 5.38 lb, 4200 cu. in.69 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Cascade 5200, , $189.99, 2495 gm 88.0 oz 5.50 lb, 5200 cu. in.85 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Red Tail, , $179.99, 2722 gm 96.0 oz 6.00 lb, 4900 cu. in.80 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Wasatch 3900, , $149.99, 1588 gm 56.0 oz 3.50 lb, 3900 cu. in.64 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Caldera 4500, , $189.99, 2693 gm 95.0 oz 5.94 lb, 4500 cu. in.74 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Caldera 5500, , $199.99, 2750 gm 97.0 oz 6.06 lb, 5500 cu. in.90 liters, ~1-1 lbs, Internal Frame
Alps Mountaineering Zion, , $159.99, 2240 gm 79.0 oz 4.94 lb, 3900 cu. in.64 liters, ~1-1 lbs, External Frame
Alps Mountaineering Bryce, , $149.99, 2183 gm 77.0 oz 4.81 lb, 3600 cu. in.59 liters, ~1-1 lbs, External Frame
Arcteryx Kea 45 (Short), , $259.00, 1644 gm 58.0 oz 3.63 lb, 2807 cu. in.46 liters, ~1-1 lbs, Internal Frame
Arcteryx Kea 45 (Regular), , $259.00, 1701 gm 60.0 oz 3.75 lb, 2929 cu. in.48 liters, ~1-1 lbs, Internal Frame
Arcteryx Kea 45 (Tall), , $259.00, 1758 gm 62.0 oz 3.88 lb, 3051 cu. in.50 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 50 (Short), , $289.00, 1417 gm 50.0 oz 3.13 lb, 3173 cu. in.52 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 50 (Regular), , $289.00, 1474 gm 52.0 oz 3.25 lb, 3356 cu. in.55 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 50 (Tall), , $289.00, 1531 gm 54.0 oz 3.38 lb, 3539 cu. in.58 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 65 (Short/Reg), , $449.00, 2240 gm 79.0 oz 4.94 lb, 4454 cu. in.73 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 50 (Reg/Tall), , $449.00, 2296 gm 81.0 oz 5.06 lb, 4576 cu. in.75 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 75 (Short/Reg), , $479.00, 2410 gm 85.0 oz 5.31 lb, 5003 cu. in.82 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 75 (Reg/Tall), , $479.00, 2438 gm 86.0 oz 5.38 lb, 5126 cu. in.84 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 85 (Short/Reg), , $499.00, 2608 gm 92.0 oz 5.75 lb, 5736 cu. in.94 liters, ~1-1 lbs, Internal Frame
Arcteryx Altra 85 (Reg/Tall), , $499.00, 2693 gm 95.0 oz 5.94 lb, 5919 cu. in.97 liters, ~1-1 lbs, Internal Frame
Arcteryx Naos 85 (Short), , $700.00, 2807 gm 99.0 oz 6.19 lb, 5614 cu. in.92 liters, ~1-1 lbs, Internal Frame
Arcteryx Naos 85 (Regular), , $700.00, 2892 gm 102.0 oz 6.38 lb, 5675 cu. in.93 liters, ~1-1 lbs, Internal Frame
Arcteryx Naos 85 (Tall), , $700.00, 3005 gm 106.0 oz 6.63 lb, 5858 cu. in.96 liters, ~1-1 lbs, Internal Frame
Black Diamond Mercury 75 (Medium), , $289.95, 2180 gm 76.9 oz 4.81 lb, 4577 cu. in.75 liters, ~1-1 lbs, Internal Frame
Black Diamond Mercury 75 (Large), , $289.95, 2200 gm 77.6 oz 4.85 lb, 4699 cu. in.77 liters, ~1-1 lbs, Internal Frame
Black Diamond Mercury 65 (Medium), , $269.95, 2150 gm 75.8 oz 4.74 lb, 3967 cu. in.65 liters, ~1-1 lbs, Internal Frame
Black Diamond Mercury 65 (Large), , $269.95, 2190 gm 77.2 oz 4.83 lb, 4087 cu. in.67 liters, ~1-1 lbs, Internal Frame
Black Diamond Mercury 55 (Medium), , $249.95, 2100 gm 74.1 oz 4.63 lb, 3356 cu. in.55 liters, ~1-1 lbs, Internal Frame
Black Diamond Mercury 55 (Large), , $249.95, 2140 gm 75.5 oz 4.72 lb, 3478 cu. in.57 liters, ~1-1 lbs, Internal Frame
Black Diamond Infinity 60 (Medium), , $229.95, 1729 gm 61.0 oz 3.81 lb, 3660 cu. in.60 liters, ~1-1 lbs, Internal Frame
Black Diamond Infinity 60 (Large), , $229.95, 1758 gm 62.0 oz 3.88 lb, 3845 cu. in.63 liters, ~1-1 lbs, Internal Frame
Black Diamond Infinity 50 (Medium), , $209.95, 1701 gm 60.0 oz 3.75 lb, 3050 cu. in.50 liters, ~1-1 lbs, Internal Frame
Black Diamond Infinity 50 (Large), , $209.95, 1729 gm 61.0 oz 3.81 lb, 3234 cu. in.53 liters, ~1-1 lbs, Internal Frame
Deuter ACT Lite 40 + 10, , $129.00, 1503 gm 53.0 oz 3.31 lb, 2440 cu. in.40 liters, ~1-1 lbs, Internal Frame
Deuter ACT Lite 50 + 10, , $185.00, 1580 gm 55.7 oz 3.48 lb, 2750 cu. in.45 liters, ~1-1 lbs, Internal Frame
Deuter ACT Zero 50 + 15, , $185.00, 1480 gm 52.2 oz 3.26 lb, 3050 cu. in.50 liters, ~1-1 lbs, Internal Frame
Deuter ACT Lite 65 + 10, , $199.00, 1760 gm 62.1 oz 3.88 lb, 3970 cu. in.65 liters, ~1-1 lbs, Internal Frame
Deuter Aircontact 55 + 10, , $249.00, 2600 gm 91.7 oz 5.73 lb, 3360 cu. in.55 liters, ~1-1 lbs, Internal Frame
Deuter Aircontact 65 + 10, , $269.00, 2710 gm 95.6 oz 5.97 lb, 3970 cu. in.65 liters, ~1-1 lbs, Internal Frame
Deuter Aircontact 75 + 10, , $289.00, 2900 gm 102.3 oz 6.39 lb, 4580 cu. in.75 liters, ~1-1 lbs, Internal Frame
Deuter Aircontact PRO 70 + 15, , $339.00, 3200 gm 112.9 oz 7.05 lb, 4270 cu. in.70 liters, ~1-1 lbs, Internal Frame
Deuter Futura Pro 42, , $159.00, 1700 gm 60.0 oz 3.75 lb, 2560 cu. in.42 liters, ~1-1 lbs, Internal Frame
Deuter Futura Vario 50 + 10, , $199.00, 2100 gm 74.1 oz 4.63 lb, 3050 cu. in.50 liters, ~1-1 lbs, Internal Frame
Eureka Mt. Isolation 65L, , $149.99, 2722 gm 96.0 oz 6.00 lb, 3965 cu. in.65 liters, ~1-1 lbs, Internal Frame
Eureka Sawtooth 45L, , $99.99, 1673 gm 59.0 oz 3.69 lb, 2745 cu. in.45 liters, ~1-1 lbs, Internal Frame
Eureka Wolf Jaw 40L, , $89.99, 1417 gm 50.0 oz 3.13 lb, 2440 cu. in.40 liters, ~1-1 lbs, Internal Frame
Eureka Rocky Peak 50+10L, , $119.99, 1984 gm 70.0 oz 4.38 lb, 3050 cu. in.50 liters, ~1-1 lbs, Internal Frame
Exped Mountain Lite 40, , $199.00, 1100 gm 38.8 oz 2.43 lb, 2440 cu. in.40 liters, ~1-1 lbs, Internal Frame
Exped Lightning 45, , $219.00, 1000 gm 35.3 oz 2.20 lb, 2868 cu. in.47 liters, ~1-1 lbs, Internal Frame
