Big Agnes Encampment (Long), $179.95, 1616 gm 57.0 oz 3.56 lb, 15 F-9.4 C, Synth, 73", 11" x 10", Long: Fits up to 6'6"
Big Agnes Heart Mountain SL (Regular), $369.95, 907 gm 32.0 oz 2.00 lb, 30 F-1.1 C, 800 Down, 70", 8.5" x 7", Regular: Fits up to 5'10"
Big Agnes Heart Mountain SL (Long), $389.95, 992 gm 35.0 oz 2.19 lb, 30 F-1.1 C, 800 Down, 73", 8.5" x 7.5", Long: Fits up to 6'6"
Big Agnes Mystic SL (Regular), $399.95, 1021 gm 36.0 oz 2.25 lb, 15 F-9.4 C, 800 Down, 70", 8.5" x 8", Regular: Fits up to 5'10"
Big Agnes Mystic SL (Long), $419.95, 1106 gm 39.0 oz 2.44 lb, 15 F-9.4 C, 800 Down, 73", 8.5" x 8.5", Long: Fits up to 6'6"
Big Agnes Grouse Mountain (Regular), $259.95, 1361 gm 48.0 oz 3.00 lb, 15 F-9.4 C, 600 Down, 67.5", 8" x 7", Regular: Fits up to 5'10"
Big Agnes Grouse Mountain (Long), $279.95, 1531 gm 54.0 oz 3.38 lb, 15 F-9.4 C, 600 Down, 72.5", 8" x 8", Long: Fits up to 6'6"
Big Agnes Horse Thief SL (Regular), $359.95, 765 gm 27.0 oz 1.69 lb, 35 F1.6 C, 800 Down, 67.5", 7" x 5", Regular: Fits up to 5'10"
Big Agnes Horse Thief SL (Long), $369.95, 879 gm 31.0 oz 1.94 lb, 35 F1.6 C, 800 Down, 72.5", 7" x 5.5", Long: Fits up to 6'6"
Big Agnes Zirkel SL (Regular), $399.95, 1021 gm 36.0 oz 2.25 lb, 20 F-6.6 C, 800 Down, 67.5", 7" x 6", Regular: Fits up to 5'10"
Big Agnes Zirkel SL (Long), $429.95, 1162 gm 41.0 oz 2.56 lb, 20 F-6.6 C, 800 Down, 72.5", 7" x 6.5", Long: Fits up to 6'6"
Big Agnes Deer Park (Long), $249.95, 1389 gm 49.0 oz 3.06 lb, 30 F-1.1 C, 600 Down, 80.5", 9" x 8.5", Long: Fits up to 6'6"
Big Agnes Summit Park (Long), $299.95, 1673 gm 59.0 oz 3.69 lb, 15 F-9.4 C, 600 Down, 80.5", 10" x 9", Long: Fits up to 6'6"
Big Agnes Hog Park (Long), $169.95, 2580 gm 91.0 oz 5.69 lb, 20 F-6.6 C, Synth, 80.5", 12" x 10", Long: Fits up to 6'6"
Columbia Moonstone 15 (Regular), $499.00, 1049 gm 37.0 oz 2.31 lb, 15 F-9.4 C, 800 Down, 58", 14" x 7", Regular: Fits up to 6'
Columbia Moonstone 15 (Long), $519.00, 1332 gm 47.0 oz 2.94 lb, 15 F-9.4 C, 800 Down, 60", 14" x 7", Long: Fits up to 6'6"
Columbia Moonstone 32 (Regular), $399.00, 709 gm 25.0 oz 1.56 lb, 32 F0 C, 800 Down, 58", 11" x 6", Regular: Fits up to 6'
Columbia Moonstone 32 (Long), $419.00, 907 gm 32.0 oz 2.00 lb, 32 F0 C, 800 Down, 60", 11" x 6", Long: Fits up to 6'6"
Columbia Reactor 15 (Regular), $139.00, 1588 gm 56.0 oz 3.50 lb, 15 F-9.4 C, Synth, 59", 18" x 9", Regular: Fits up to 6'
Columbia Reactor 15 (Long), $149.00, 2041 gm 72.0 oz 4.50 lb, 15 F-9.4 C, Synth, 61", 18" x 9", Long: Fits up to 6'6"
Columbia Reactor 25 (Regular), $129.00, 992 gm 35.0 oz 2.19 lb, 25 F-3.8 C, Synth, 59", 17" x 7.5", Regular: Fits up to 6'
Columbia Reactor 25 (Long), $139.00, 1304 gm 46.0 oz 2.88 lb, 25 F-3.8 C, Synth, 61", 17" x 9", Long: Fits up to 6'6"
Columbia Reactor 35 (Regular), $109.00, 992 gm 35.0 oz 2.19 lb, 35 F1.6 C, Synth, 59", 19" x 8", Regular: Fits up to 6'
Columbia Reactor 35 (Long), $119.00, 1219 gm 43.0 oz 2.69 lb, 35 F1.6 C, Synth, 61", 19" x 8", Long: Fits up to 6'6"
Eureka Casper 15° (Regular), $129.90, 1361 gm 48.0 oz 3.00 lb, 15 F-9.4 C, Synth, 64", 17.5" x 8.5", Regular: Fits up to 6'
Eureka Casper 15° (Long), $139.90, 1503 gm 53.0 oz 3.31 lb, 15 F-9.4 C, Synth, 68", 16" x 9", Long: Fits up to 6'6"
Eureka Cimarron 15° (Regular), $84.99, 1843 gm 65.0 oz 4.06 lb, 15 F-9.4 C, Synth, 64", 19" x 10", Regular: Fits up to 6'
Eureka Cimarron 15° (Long), $94.99, 2098 gm 74.0 oz 4.63 lb, 15 F-9.4 C, Synth, 68", 19" x 10.5", Long: Fits up to 6'6"
Eureka Copper River 30° (Regular), $74.99, 1559 gm 55.0 oz 3.44 lb, 30 F-1.1 C, Synth, 64", 17.5" x 10", Regular: Fits up to 6'
Eureka Copper River 30° (Long), $84.99, 1758 gm 62.0 oz 3.88 lb, 30 F-1.1 C, Synth, 68", 19" x 10", Long: Fits up to 6'6"
Eureka Dual Temp 20/40° (Regular), $119.90, 1531 gm 54.0 oz 3.38 lb, 20 F-6.6 C, Synth, 66", 18" x 9", Regular: Fits up to 6'
