Black Diamond Onyx 55 (Medium), , $249.95, 2100 gm 74.1 oz 4.63 lb, 3478 cu. in.57 liters, ~1-1 lbs, Internal Frame
Black Diamond Innova 60 (Small), , $229.95, 1701 gm 60.0 oz 3.75 lb, 3478 cu. in.57 liters, ~1-1 lbs, Internal Frame
Black Diamond Innova 60 (Medium), , $229.95, 1729 gm 61.0 oz 3.81 lb, 3660 cu. in.60 liters, ~1-1 lbs, Internal Frame
Black Diamond Innova 50 (Small), , $209.95, 1644 gm 58.0 oz 3.63 lb, 2929 cu. in.48 liters, ~1-1 lbs, Internal Frame
Black Diamond Innova 50 (Medium), , $209.95, 1701 gm 60.0 oz 3.75 lb, 3050 cu. in.50 liters, ~1-1 lbs, Internal Frame
Deuter ACT Lite 45 + 10 SL, , $179.00, 1480 gm 52.2 oz 3.26 lb, 2750 cu. in.45 liters, ~1-1 lbs, Internal Frame
Deuter ACT Zero 45 + 15 SL, , $185.00, 1430 gm 50.4 oz 3.15 lb, 2750 cu. in.45 liters, ~1-1 lbs, Internal Frame
Deuter ACT Lite 60 + 10 SL, , $199.00, 1680 gm 59.3 oz 3.70 lb, 3660 cu. in.60 liters, ~1-1 lbs, Internal Frame
Deuter Aircontact 60 + 10 SL, , $269.00, 2690 gm 94.9 oz 5.93 lb, 3660 cu. in.60 liters, ~1-1 lbs, Internal Frame
Deuter Aircontact 70 + 10 SL, , $289.00, 2860 gm 100.9 oz 6.31 lb, 4270 cu. in.70 liters, ~1-1 lbs, Internal Frame
Deuter Aircontact PRO 65 + 15 SL, , $339.00, 3000 gm 105.8 oz 6.61 lb, 3970 cu. in.65 liters, ~1-1 lbs, Internal Frame
Deuter Futura Vario 45 + 10 SL, , $199.00, 2030 gm 71.6 oz 4.48 lb, 2750 cu. in.45 liters, ~1-1 lbs, Internal Frame
GoLite Women's Quest 50, , $119.99, 1588 gm 56.0 oz 3.50 lb, 3050 cu. in.50 liters, ~1-60 lbs, Internal Frame
GoLite Women's Quest 65, , $134.99, 1644 gm 58.0 oz 3.63 lb, 3965 cu. in.65 liters, ~1-60 lbs, Internal Frame
GoLite Jam 50, , $109.99, 840 gm 29.6 oz 1.85 lb, 3050 cu. in.50 liters, ~1-30 lbs, Frameless
GoLite Jam 70, , $119.99, 880 gm 31.0 oz 1.94 lb, 4270 cu. in.70 liters, ~1-30 lbs, Frameless
Granite Gear Aji V.C. 50 Ki, , $229.95, 1162 gm 41.0 oz 2.56 lb, 3000 cu. in.50 liters, ~1-35 lbs, Internal Frame
Granite Gear Blaze A.C. 60 Ki, , $239.95, 1304 gm 46.0 oz 2.88 lb, 3660 cu. in.60 liters, ~1-35 lbs, Internal Frame
Granite Gear Crown V.C. 60 Ki, , $199.95, 964 gm 34.0 oz 2.13 lb, 3660 cu. in.60 liters, ~1-35 lbs, Internal Frame
Granite Gear Escape A.C. 40 Ki, , $229.95, 1361 gm 48.0 oz 3.00 lb, 2500 cu. in.40 liters, ~1-35 lbs, Internal Frame
